csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
1042.7936303446877	942.0364599845636	836.7547142806397	n/a	n/a	n/a	-0.0137535933	-0.2424859819	0.1422170285	-0.014072636599999999	0.0158260135	-0.0449409726	0.20125117420000002	-0.168444733	0.0442870222	-0.0493635179	0.0335405992	-0.0402743369	0.1285540361	0.1285215385	0.1284673818	0.0	0.0235145	-0.0222708	0.0	-0.0	0.0
1043.4541386371423	942.648910559964	836.9510363270634	1.082995	11.160436	0.0416026	0.0556238096	-0.2331727977	0.05480462690000001	0.0098029261	0.0430285408	-0.1431587965	0.1667254645	-0.20400668440000003	0.1307470484	0.06905698240000001	0.0505747013	0.043938846100000005	0.1284673818	0.1281750671	0.1276883686	-0.0110962	0.0235145	-0.0527772	0.0	-0.0	0.0
1042.5984761352595	941.6642741628493	836.1445991475915	1.043215	10.750496	0.10142935	0.08530011480000001	-0.1848620936	0.0404394114	-0.0769418717	0.08509399220000001	-0.0614699255	0.1189933922	-0.2041211297	0.0082458466	0.0864252932	-0.0664080197	-0.0726446342	0.1282941315	0.1274830585	0.1261350661	0.0227506	0.0397517	-0.0256457	0.0	6.3088e-05	-0.000421189
1041.1237016883767	941.6100087589792	836.2132708430046	1.0747350000000002	11.075319	0.08182085999999998	0.084328044	-0.1230639301	0.04564601980000001	-0.0389808341	0.2010304606	-0.04763978	0.13005806050000002	-0.26877884879999997	0.0043497565	0.1041514301	-0.1696385978	-0.0788096684	0.1280344021	0.126447378	0.1238168934	-0.00172581	0.0235145	-0.0425391	0.0	-0.0	0.0
1040.6199081398563	941.6605317212027	836.9453070695153	1.01962	10.507342	0.09661766	0.0420496459	-0.0713433877	0.0046443822	-0.0607629976	0.18618165670000003	-0.0891379433	0.12390923529999999	-0.16541886849999998	-0.021000898599999998	0.0603351652	-0.15185839269999998	-0.1117656611	0.1276883686	0.12507081779999998	0.1207479075	0.0294553	0.0176701	-0.0207384	2.64698e-23	0.000325364	-0.000430465
1040.3721214315221	942.775030843441	836.7947687145013	0.995735	10.261205	0.04620611	-0.0252022227	0.0017488747000000001	0.0618465195	-0.1861118118	0.025892485899999998	-0.0432308571	0.1161084831	-0.09022677	-0.0889523379	0.053061785199999996	-0.10188174609999999	0.052386443399999996	0.1272562643	0.12335708880000001	0.1169467186	0.0327443	0.0235257	-0.0371214	9.974420000000003e-05	0.000544688	-0.000524967
1044.1554519006597	942.4041548763026	837.5892257611804	0.979028	10.089038	0.09506680999999997	-0.0555721822	-0.0085379775	0.0021616825	-0.0882854644	-0.1143638743	-0.013566331000000001	0.0690792298	-0.015023342700000001	-0.0446500201	0.0107503177	-0.0630379562	0.1087870373	0.1267383804	0.1213108108	0.1124363766	0.0261327	0.0104597	-0.0137094	0.0	-0.0	-0.00012985500000000004
1042.9857685345157	942.56189879169	837.5077697367876	0.915672	9.436143	0.03786355	-0.048050409100000004	0.0440619688	0.014248541699999999	-0.0115007251	-0.1266671467	8.902649999999999e-05	-0.020869231999999998	0.035466671899999996	-0.0305438428	-0.051906181100000004	-0.1132662598	0.1041198718	0.1261350661	0.11893750039999999	0.1072442319	0.0376724	0.0108538	-0.0137131	-0.000234459	-1.1219299999999999e-23	-0.000413917
1043.5399473516516	942.8612941233857	838.3332412667728	0.861179	8.874584	0.09269518	-0.031010304199999998	0.0762670095	0.0298378608	0.0402237385	-0.1010283151	0.0232426558	-0.0599925346	0.051229442	0.0633951064	-0.0229327006	-0.037576654	0.13927288640000002	0.125446728	0.11624355550000001	0.101401769	-0.007646499999999999	0.0235023	-0.008871169999999998	0.0	0.000263684	-0.000513491
1044.8511470884507	944.0309942599052	838.2878255249983	0.813423	8.38245	0.025644859999999995	-0.0338094627	0.0537411305	0.026879618100000002	0.014876402700000001	-0.09589589890000001	0.0973670165	-0.051793174000000004	0.0795454712	0.0892324275	-0.038794653	0.0630336553	0.1163847034	0.1246738301	0.1132362385	0.09494441599999999	0.00308238	0.0180715	-0.0137112	-2.64698e-23	0.000321657	-0.000548421
